-2.57, 0.80, 9.31
-2.80, 0.84, 9.27
-2.91, 0.96, 9.31
-2.80, 0.88, 8.92
-2.91, 1.00, 9.15
-2.57, 0.84, 9.31
-2.57, 1.00, 9.31
-2.76, 0.96, 9.19
-2.95, 0.88, 9.12
-2.91, 0.84, 9.38
-2.72, 0.77, 9.27
-2.68, 0.73, 9.27
-2.53, 0.69, 9.42
-2.87, 0.69, 9.27
-3.18, 0.84, 9.19
-2.76, 0.80, 9.27
-2.64, 0.73, 9.23
-2.72, 0.65, 9.31
-2.68, 0.77, 9.23
-2.95, 0.77, 9.27
-2.60, 0.92, 9.35
-2.60, 0.80, 9.27
-2.80, 0.84, 9.23
-2.83, 0.84, 9.27
-2.91, 1.03, 9.19
-2.87, 1.00, 9.27

-2.57, 0.80, 9.31
-2.80, 0.84, 9.27
-2.91, 0.96, 9.31
-2.80, 0.88, 8.92
-2.91, 1.00, 9.15
-2.57, 0.84, 9.31
-2.57, 1.00, 9.31
-2.76, 0.96, 9.19
-2.95, 0.88, 9.12
-2.91, 0.84, 9.38
-2.72, 0.77, 9.27
-2.68, 0.73, 9.27
-2.53, 0.69, 9.42
-2.87, 0.69, 9.27
-3.18, 0.84, 9.19
-2.76, 0.80, 9.27
-2.64, 0.73, 9.23
-2.72, 0.65, 9.31
-2.68, 0.77, 9.23
-2.95, 0.77, 9.27
-2.60, 0.92, 9.35
-2.60, 0.80, 9.27
-2.80, 0.84, 9.23
-2.83, 0.84, 9.27
-2.91, 1.03, 9.19
-2.87, 1.00, 9.27
-2.87, 0.96, 9.19
-2.76, 1.07, 9.46
-2.76, 0.88, 9.15
-2.76, 1.03, 9.23
-2.72, 0.80, 9.31
-2.64, 1.00, 9.27
-2.95, 0.92, 9.27
-2.91, 0.92, 9.23
-2.76, 1.00, 9.23
-2.80, 0.88, 9.35
-2.80, 0.88, 9.19
-2.64, 0.50, 9.35
-2.45, 1.11, 8.04
-3.64, 0.88, 10.80
-0.46, 0.42, 8.77
-1.15, 1.19, 10.80
-0.88, 0.92, 8.96
-0.73, 0.61, 10.73
-1.46, 0.27, 9.42
-1.95, 1.00, 11.11
0.27, -0.04, 10.00
-2.07, 1.34, 10.73
